id,external_id,fecha,fecha_limite_oferta,titulo,numero_expediente,organismo,mercado_vertical,comunidad_autonoma,provincia,tipo_procedimiento,tipo_tramitacion,importe_licitacion,valor_estimado,puntos_precio,puntos_mejoras,puntos_subjetivos,duracion_meses,competencia,created_at
323,143061,2026-06-02,2024-10-04 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,225330.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
389,178821,2026-06-01,2026-06-01 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,262280.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
388,188172,2026-06-01,2026-06-29 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,238812.10,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
387,188184,2026-06-01,2026-06-19 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,38289.03,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
386,188198,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,35071.21,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
385,188227,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,90000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
384,188230,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,90000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
383,188233,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,90000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
382,188234,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,28779.88,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
381,188236,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,80300.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
380,188244,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,13118.21,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
379,188249,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,154300.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
378,188253,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,82500.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
377,188281,2026-06-01,2026-06-10 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,1862640.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
376,188283,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,759000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
375,188288,2026-06-01,2026-06-08 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,84336.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
374,188313,2026-06-01,2026-07-02 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,393000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
373,188315,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,49600.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
372,188316,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,40000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
371,188318,2026-06-01,2026-06-17 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,75601.56,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
370,188324,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,59903.99,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
369,188341,2026-06-01,2026-06-12 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,592207.44,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
368,188344,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,290200.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
367,188346,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,81300.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
366,188361,2026-06-01,2026-06-18 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,123910.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
365,188362,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,215000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
364,188363,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,66079.36,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
363,188371,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,160842.05,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
362,188378,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,70966.50,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
361,188396,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,37550.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
360,188402,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,16166.04,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
359,188405,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,58800.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
358,188407,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,174960.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
357,188410,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,20400.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
356,188415,2026-06-01,2026-06-17 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,22300.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
355,188434,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,71900.83,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
354,188437,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,66000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
353,188438,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,28000.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
352,188443,2026-06-01,2026-06-08 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,49995.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
351,188444,2026-06-01,2026-06-16 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,12158753.46,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
350,188447,2026-06-01,2026-06-15 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,30900.00,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
349,188452,2026-06-01,2026-06-12 00:00:00,Política de cookies,,NULL,NULL,NULL,NULL,NULL,NULL,1779113.86,NULL,NULL,NULL,NULL,NULL,NULL,2026-06-08 20:17:16.542821
